Subject,SVM_mean,SVM_std,LDA_mean,LDA_std,RF_mean,RF_std
A01T,84.19,4.37,83.54,6.22,81.12,3.44
A02T,58.81,3.27,60.19,2.61,58.82,5.97
A03T,87.71,3.75,86.02,5.03,87.68,2.98
A04T,55.36,2.34,57.65,5.88,54.22,5.92
A05T,54.31,4.22,55.14,1.06,57.48,5.85
A06T,53.57,3.68,55.68,3.11,49.67,4.21
A07T,82.16,4.12,81.45,8.95,76.6,11.48
A08T,87.16,4.91,87.58,5.18,83.83,4.0
A09T,62.59,5.58,64.96,8.48,62.03,5.8
