Subject,Model,Class,Precision,Recall,F1,Support
A08T,LDA,Left Hand,0.92,0.8846,0.902,52.0
A08T,LDA,Right Hand,0.9574,0.8182,0.8824,55.0
A08T,LDA,Feet,0.7532,0.8923,0.8169,65.0
A08T,LDA,Tongue,0.9254,0.8986,0.9118,69.0
A08T,RF,Left Hand,0.9038,0.9038,0.9038,52.0
A08T,RF,Right Hand,0.8776,0.7818,0.8269,55.0
A08T,RF,Feet,0.7576,0.7692,0.7634,65.0
A08T,RF,Tongue,0.8378,0.8986,0.8671,69.0
A09T,SVM,Left Hand,0.7,0.7292,0.7143,48.0
A09T,SVM,Right Hand,0.5312,0.3953,0.4533,43.0
A09T,SVM,Feet,0.4524,0.475,0.4634,40.0
A09T,SVM,Tongue,0.766,0.9,0.8276,40.0
A09T,LDA,Left Hand,0.8049,0.6875,0.7416,48.0
A09T,LDA,Right Hand,0.5833,0.4884,0.5316,43.0
A09T,LDA,Feet,0.4468,0.525,0.4828,40.0
A09T,LDA,Tongue,0.766,0.9,0.8276,40.0
A09T,RF,Left Hand,0.6667,0.7917,0.7238,48.0
A09T,RF,Right Hand,0.5263,0.4651,0.4938,43.0
A09T,RF,Feet,0.4545,0.375,0.411,40.0
A09T,RF,Tongue,0.7674,0.825,0.7952,40.0
