Subject,SVM_mean,SVM_std,LDA_mean,LDA_std,RF_mean,RF_std
A01T,75.64,3.11,78.73,6.81,78.05,3.52
A02T,55.07,8.61,59.71,3.23,56.49,4.86
A03T,83.21,6.45,88.25,5.42,81.0,4.46
A04T,58.42,6.55,62.62,6.78,53.48,9.54
A05T,40.95,9.62,41.05,12.79,38.58,4.57
A06T,51.03,5.96,53.51,5.01,47.84,4.07
A07T,76.69,6.0,72.57,10.96,74.69,8.77
A08T,88.38,3.4,90.45,4.09,81.72,3.67
A09T,68.45,9.6,69.61,5.91,69.6,6.82
