Subject,Model,Class,Precision,Recall,F1,Support
A06T,SVM_tuned,Left Hand,0.5946,0.6286,0.6111,70.0
A06T,SVM_tuned,Right Hand,0.5,0.5072,0.5036,69.0
A06T,SVM_tuned,Feet,0.5352,0.5507,0.5429,69.0
A06T,SVM_tuned,Tongue,0.5079,0.4571,0.4812,70.0
A06T,LDA_improved,Left Hand,0.5915,0.6,0.5957,70.0
A06T,LDA_improved,Right Hand,0.4603,0.4203,0.4394,69.0
A06T,LDA_improved,Feet,0.4795,0.5072,0.493,69.0
A06T,LDA_improved,Tongue,0.4648,0.4714,0.4681,70.0
A06T,RF_improved,Left Hand,0.5672,0.5429,0.5547,70.0
A06T,RF_improved,Right Hand,0.4286,0.4348,0.4317,69.0
A06T,RF_improved,Feet,0.4928,0.4928,0.4928,69.0
A06T,RF_improved,Tongue,0.4722,0.4857,0.4789,70.0
A06T,Ensemble,Left Hand,0.6027,0.6286,0.6154,70.0
A06T,Ensemble,Right Hand,0.4762,0.4348,0.4545,69.0
A06T,Ensemble,Feet,0.4933,0.5362,0.5139,69.0
A06T,Ensemble,Tongue,0.5224,0.5,0.5109,70.0
A07T,SVM_tuned,Left Hand,0.8,0.7869,0.7934,61.0
A07T,SVM_tuned,Right Hand,0.7273,0.7869,0.7559,61.0
A07T,SVM_tuned,Feet,0.8667,0.8525,0.8595,61.0
A07T,SVM_tuned,Tongue,0.8448,0.8033,0.8235,61.0
A07T,LDA_improved,Left Hand,0.8214,0.7541,0.7863,61.0
A07T,LDA_improved,Right Hand,0.7903,0.8033,0.7967,61.0
A07T,LDA_improved,Feet,0.8308,0.8852,0.8571,61.0
A07T,LDA_improved,Tongue,0.8197,0.8197,0.8197,61.0
A07T,RF_improved,Left Hand,0.7333,0.7213,0.7273,61.0
A07T,RF_improved,Right Hand,0.7321,0.6721,0.7009,61.0
A07T,RF_improved,Feet,0.75,0.8361,0.7907,61.0
A07T,RF_improved,Tongue,0.7667,0.7541,0.7603,61.0
A07T,Ensemble,Left Hand,0.7679,0.7049,0.735,61.0
A07T,Ensemble,Right Hand,0.7377,0.7377,0.7377,61.0
A07T,Ensemble,Feet,0.8281,0.8689,0.848,61.0
A07T,Ensemble,Tongue,0.7937,0.8197,0.8065,61.0
A08T,SVM_tuned,Left Hand,0.9,0.8852,0.8926,61.0
A08T,SVM_tuned,Right Hand,0.94,0.7705,0.8468,61.0
A08T,SVM_tuned,Feet,0.7534,0.8462,0.7971,65.0
A08T,SVM_tuned,Tongue,0.8551,0.9077,0.8806,65.0
A08T,LDA_improved,Left Hand,0.8852,0.8852,0.8852,61.0
A08T,LDA_improved,Right Hand,0.9412,0.7869,0.8571,61.0
A08T,LDA_improved,Feet,0.7162,0.8154,0.7626,65.0
A08T,LDA_improved,Tongue,0.8788,0.8923,0.8855,65.0
A08T,RF_improved,Left Hand,0.8983,0.8689,0.8833,61.0
A08T,RF_improved,Right Hand,0.8333,0.8197,0.8264,61.0
A08T,RF_improved,Feet,0.7414,0.6615,0.6992,65.0
A08T,RF_improved,Tongue,0.8,0.9231,0.8571,65.0
A08T,Ensemble,Left Hand,0.9,0.8852,0.8926,61.0
A08T,Ensemble,Right Hand,0.9423,0.8033,0.8673,61.0
A08T,Ensemble,Feet,0.7361,0.8154,0.7737,65.0
A08T,Ensemble,Tongue,0.8676,0.9077,0.8872,65.0
A09T,SVM_tuned,Left Hand,0.7213,0.7213,0.7213,61.0
A09T,SVM_tuned,Right Hand,0.5882,0.4918,0.5357,61.0
A09T,SVM_tuned,Feet,0.5538,0.5902,0.5714,61.0
A09T,SVM_tuned,Tongue,0.7761,0.8525,0.8125,61.0
A09T,LDA_improved,Left Hand,0.8125,0.6393,0.7156,61.0
A09T,LDA_improved,Right Hand,0.5357,0.4918,0.5128,61.0
A09T,LDA_improved,Feet,0.5147,0.5738,0.5426,61.0
A09T,LDA_improved,Tongue,0.7361,0.8689,0.797,61.0
A09T,RF_improved,Left Hand,0.7273,0.7869,0.7559,61.0
A09T,RF_improved,Right Hand,0.5636,0.5082,0.5345,61.0
A09T,RF_improved,Feet,0.4921,0.5082,0.5,61.0
A09T,RF_improved,Tongue,0.7833,0.7705,0.7769,61.0
A09T,Ensemble,Left Hand,0.7719,0.7213,0.7458,61.0
A09T,Ensemble,Right Hand,0.5357,0.4918,0.5128,61.0
A09T,Ensemble,Feet,0.5072,0.5738,0.5385,61.0
A09T,Ensemble,Tongue,0.7903,0.8033,0.7967,61.0
