Subject,Model,Class,Precision,Recall,F1,Support
A08T,SVM,Tongue,0.8406,0.8923,0.8657,65.0
A08T,LDA,Left Hand,0.8852,0.8852,0.8852,61.0
A08T,LDA,Right Hand,0.9412,0.7869,0.8571,61.0
A08T,LDA,Feet,0.7162,0.8154,0.7626,65.0
A08T,LDA,Tongue,0.8788,0.8923,0.8855,65.0
A08T,RF,Left Hand,0.8983,0.8689,0.8833,61.0
A08T,RF,Right Hand,0.8364,0.7541,0.7931,61.0
A08T,RF,Feet,0.7273,0.7385,0.7328,65.0
A08T,RF,Tongue,0.8056,0.8923,0.8467,65.0
A09T,SVM,Left Hand,0.7143,0.7377,0.7258,61.0
A09T,SVM,Right Hand,0.5385,0.459,0.4956,61.0
A09T,SVM,Feet,0.5246,0.5246,0.5246,61.0
A09T,SVM,Tongue,0.7647,0.8525,0.8062,61.0
A09T,LDA,Left Hand,0.8125,0.6393,0.7156,61.0
A09T,LDA,Right Hand,0.5455,0.4918,0.5172,61.0
A09T,LDA,Feet,0.5147,0.5738,0.5426,61.0
A09T,LDA,Tongue,0.726,0.8689,0.791,61.0
A09T,RF,Left Hand,0.7121,0.7705,0.7402,61.0
A09T,RF,Right Hand,0.5636,0.5082,0.5345,61.0
A09T,RF,Feet,0.5079,0.5246,0.5161,61.0
A09T,RF,Tongue,0.7667,0.7541,0.7603,61.0
